CLIENTE;EMISSAO;DT.SAIDA;C.E.P.;UF;CEP.ENTR.;UFE
00009-1;13/02/2024;13/02/2024;01510-001;SP;01510-001;SP
00009-1;07/03/2024;07/03/2024;01510-001;SP;01510-001;SP
00009-1;01/04/2024;01/04/2024;01510-001;SP;01510-001;SP
00011-7;05/01/2024;05/01/2024;01258-001;SP;01258-001;SP
00011-7;17/01/2024;17/01/2024;01258-001;SP;01258-001;SP
00011-7;07/02/2024;07/02/2024;01258-001;SP;01258-001;SP
00011-7;28/02/2024;28/02/2024;01258-001;SP;01258-001;SP
00011-7;20/03/2024;20/03/2024;01258-001;SP;01258-001;SP
00013-3;02/01/2024;02/01/2024;05314-000;SP;05314-000;SP
00013-3;03/01/2024;03/01/2024;05314-000;SP;05314-000;SP
00013-3;22/01/2024;22/01/2024;05314-000;SP;05314-000;SP
00013-3;29/01/2024;29/01/2024;05314-000;SP;05314-000;SP
00013-3;02/02/2024;02/02/2024;05314-000;SP;05314-000;SP
00013-3;09/02/2024;09/02/2024;05314-000;SP;05314-000;SP
00013-3;19/02/2024;19/02/2024;05314-000;SP;05314-000;SP
00013-3;22/02/2024;22/02/2024;05314-000;SP;05314-000;SP
00013-3;01/03/2024;01/03/2024;05314-000;SP;05314-000;SP
00013-3;08/03/2024;08/03/2024;05314-000;SP;05314-000;SP
00013-3;13/03/2024;13/03/2024;05314-000;SP;05314-000;SP
00013-3;15/03/2024;15/03/2024;05314-000;SP;05314-000;SP
00013-3;22/03/2024;22/03/2024;05314-000;SP;05314-000;SP
00013-3;28/03/2024;28/03/2024;05314-000;SP;05314-000;SP
00053-9;24/01/2024;24/01/2024;05316-900;SP;05316-900;SP
00053-9;21/03/2024;21/03/2024;05316-900;SP;05316-900;SP
00174-3;19/02/2024;19/02/2024;01024-000;SP;01024-000;SP
00174-3;19/03/2024;19/03/2024;01024-000;SP;01024-000;SP
00950-6;02/01/2024;02/01/2024;01503-010;SP;01503-010;SP
00950-6;20/02/2024;20/02/2024;01503-010;SP;01503-010;SP
00950-6;02/01/2024;02/01/2024;01503-010;SP;01503-010;SP
00950-6;16/01/2024;16/01/2024;01503-010;SP;01503-010;SP
00950-6;18/01/2024;18/01/2024;01503-010;SP;01503-010;SP
00950-6;30/01/2024;30/01/2024;01503-010;SP;01503-010;SP
00950-6;20/02/2024;20/02/2024;01503-010;SP;01503-010;SP
00950-6;05/03/2024;05/03/2024;01503-010;SP;01503-010;SP
00950-6;19/03/2024;19/03/2024;01503-010;SP;01503-010;SP
00950-6;22/03/2024;22/03/2024;01503-010;SP;01503-010;SP
00950-6;27/03/2024;27/03/2024;01503-010;SP;01503-010;SP
00980-3;16/01/2024;16/01/2024;09725-620;SP;09725-620;SP
00980-3;18/01/2024;18/01/2024;09725-620;SP;09725-620;SP
00980-3;07/02/2024;07/02/2024;09725-620;SP;09725-620;SP
00980-3;15/02/2024;15/02/2024;09725-620;SP;09725-620;SP
00980-3;27/02/2024;27/02/2024;09725-620;SP;09725-620;SP
00980-3;07/03/2024;07/03/2024;09725-620;SP;09725-620;SP
00980-3;19/03/2024;19/03/2024;09725-620;SP;09725-620;SP
01051-2;11/03/2024;11/03/2024;04543-000;SP;04543-000;SP
01116-3;20/03/2024;20/03/2024;14801-230;SP;14801-230;SP
01313-6;08/03/2024;08/03/2024;14802-404;SP;14802-404;SP
01323-5;22/01/2024;22/01/2024;19023-450;SP;19023-450;SP
01385-4;13/02/2024;13/02/2024;01511-000;SP;01511-000;SP
01385-4;20/02/2024;20/02/2024;01511-000;SP;01511-000;SP
01385-4;26/03/2024;26/03/2024;01511-000;SP;01511-000;SP
01395-3;17/01/2024;17/01/2024;04046-300;SP;04062-003;SP
01395-3;22/01/2024;22/01/2024;04046-300;SP;04062-003;SP
01395-3;22/02/2024;22/02/2024;04046-300;SP;04062-003;SP
